query,url1,url2
Лучшие сорта томатов для Сибири открытого грунта -cyberleninka -youtube -видео -pdf,https://www.semena-sad.ru/blog/ogorod/top-10-tomatov-dlya-sibiri,https://yasna24.ru/nashi-sovety/sorta-pomidorov-dlya-vyrashchivaniya-v-teplitsakh-v-sibiri
Томаты для Сибири: описание сортов с ранним и поздним созреванием -cyberleninka -youtube -видео -pdf,https://yasna24.ru/nashi-sovety/sorta-pomidorov-dlya-vyrashchivaniya-v-teplitsakh-v-sibiri,https://agromarket.ru/blog/morozoustojchivye-sorta-i-gibridy-tomatov/
как искусственный интеллект изменит политику в будущем -cyberleninka -youtube -видео -pdf,https://iis.guu.ru/blog/kak-iskusstvenny-intellekt-izmenit-nashu-gizn/,https://legalacademy.ru/sphere/post/paradoks-pigmaliona-kakoe-buduschee-zhdet-iskusstvennyi-intellekt-v-sfere-prava
влияние AI на международные отношения: перспективы и риски -cyberleninka -youtube -видео -pdf,https://russiancouncil.ru/analytics-and-comments/comments/iskusstvennyy-intellekt-v-mezhdunarodnykh-otnosheniyakh-epokha-tsifrovoy-diplomatii/,https://russiancouncil.ru/projects/complitedresearch/ai/
Как молодые люди могут влиять на политику в России? -cyberleninka -youtube -видео -pdf,https://www.vedomosti.ru/society/articles/2020/04/29/829352-molodezhi-ravnodushni,https://www.vedomosti.ru/politics/articles/2017/07/11/718579-molodie-lyudi-ne-politikov
Возможности для молодежи в политической жизни страны: опрос -cyberleninka -youtube -видео -pdf,https://www.vedomosti.ru/society/articles/2020/04/29/829352-molodezhi-ravnodushni,https://tusp23.msp.midural.ru/news/vserossiyskiy-opros-ob-izmeneniyah-v-podrostkovo-molodejnoy-srede-molodej-sovremennoy-rossii-moy-vzglyad-na-riski-i-vozmojnosti-121510/
кейсы применения big data для оптимизации бизнес-процессов -cyberleninka -youtube -видео -pdf,https://habr.com/ru/companies/newprolab/articles/325550/,https://habr.com/ru/articles/353008/
как анализ больших данных повышает эффективность бизнеса -cyberleninka -youtube -видео -pdf,https://networking.camp/useful/advice/big-data,https://platrum.ru/blog/chto-takoe-analitika-bolshih-dannyh-i-kak-big-data-pomogaet-biznesu
тренды развития аналитики больших данных 2023 -cyberleninka -youtube -видео -pdf,https://blog.naumen.ru/data-analysis-2023/,https://expert-ural.com/articles/big-data-trendi-2023-goda.html
будущее аналитики данных: ключевые вызовы и возможности -cyberleninka -youtube -видео -pdf,https://www.vedomosti.ru/finance/characters/2024/07/15/1049899-magicheskoe-buduschee-dazhe-blizhe-chem-mi-vse-sebe-predstavlyaem,https://habr.com/ru/articles/801599/
Влияние социальных сетей на формирование общественного мнения: обсуждение -cyberleninka -youtube -видео -pdf,https://na-journal.ru/7-2023-sociologiya/6085-vliyanie-socialnyh-media-na-formirovanie-obshchestvennogo-mneniya-i-politicheskie-processy,https://fastfine.ru/readyworks/referaty/obshchestvovedenie/socialnye-seti-i-formirovanie-obshchestvennogo-mneniya
#ОбщественноеМнение #СоциальныеСети #Медиа -cyberleninka -youtube -видео -pdf,https://na-journal.ru/7-2023-sociologiya/6085-vliyanie-socialnyh-media-na-formirovanie-obshchestvennogo-mneniya-i-politicheskie-processy,https://fastercapital.com/ru/content/%D0%A4%D0%BE%D1%80%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BC%D0%BD%D0%B5%D0%BD%D0%B8%D0%B9--%D0%BA%D0%B0%D0%BA-%D1%81%D1%80%D0%B5%D0%B4%D1%81%D1%82%D0%B2%D0%B0-%D0%BC%D0%B0%D1%81%D1%81%D0%BE%D0%B2%D0%BE%D0%B9-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%B8-%D0%B2%D0%BB%D0%B8%D1%8F%D1%8E%D1%82-%D0%BD%D0%B0-%D0%BE%D0%B1%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5-%D0%B2%D0%BE%D1%81%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5.html
Тренды интернет-рекламы 2024-2025: прогнозы для маркетологов -cyberleninka -youtube -видео -pdf,https://vc.ru/future/1261639-biznes-trendy-tendencii-i-prognozy-dlya-biznesa-v-2024-2025-godah,https://vc.ru/marketing/913385-chto-budet-s-socsetyami-v-2024-2025-godah-trendy-i-prognoz
Как изменится интернет-реклама в ближайшие 5 лет? -cyberleninka -youtube -видео -pdf,https://medianation.ru/blog/issledovaniya/reklama-v-2024-godu-glavnye-trendy-i-vyzovy/,https://plus.rbc.ru/news/634049b37a8aa9bfe6ca952a
методы развития критического мышления с упражнениями #критическоемышление #аналитика #решения -cyberleninka -youtube -видео -pdf,https://practicum.yandex.ru/blog/priemy-razvitiya-kriticheskogo-myshleniya/,https://www.kp.ru/putevoditel/obrazovanie/kriticheskoe-myshlenie/
как улучшить навыки анализа информации и принятия решений #критическоемышление #аналитика #решения -cyberleninka -youtube -видео -pdf,https://sv-mos.ru/navyik-analiza-i-prinyatiya-obosnovannyix-reshenij.html,https://coursus.ru/blog/analiticheskoe-myshlenie-kak-razvit-kriticheskie-navyki-dlya-uspekha-v-biznes-analitike
Экологические проблемы современности: причины и решения -cyberleninka -youtube -видео -pdf,https://biosfera92.ru/poleznye-stati/problemy-ekologii-v-sovremennom-mire,https://eco-standart.com/blog/prichiny-i-vidy-globalnyh-jekologicheskih-problem/
Как каждый может внести вклад в сохранение окружающей среды #экология #охранаприроды #зеленоебудущее -cyberleninka -youtube -видео -pdf,https://loodusveeb.ee/ru/themes/temy/kak-vnesti-svoy-vklad-v-okhranu-prirody,https://rusarctica.ru/blog/idei-i-layfkhaki/kak-spasti-prirodu-8-shagov-kotorye-mozhet-sdelat-kazhdyy/
техники медитации для снятия стресса -cyberleninka -youtube -видео -pdf,https://www.psychologies.ru/wellbeing/snyat-stress-za-minutu-6-korotkih-meditatsiy/,https://tenchat.ru/media/1618739-tekhniki-meditatsii-dlya-snyatiya-stressa-i-povysheniya-kontsentratsii
преимущества медитации для начинающих -cyberleninka -youtube -видео -pdf,https://www.origins.ru/wellness-beauty-how-to/meditation-guide-for-beginners,https://www.sravni.ru/text/meditacziya/
практические советы по организации рабочего времени -cyberleninka -youtube -видео -pdf,https://klutch.app/ru/blog/6-simple-tips-for-better-time-management/,https://www.getcompass.ru/blog/posts/effektivnyy-taym-menedzhment
методы повышения продуктивности и организованности в повседневной жизни -cyberleninka -youtube -видео -pdf,https://sbercrm.com/blog/business/tpost/tkcjl9m9b1-kak-povisit-produktivnost-sotrudnikov,https://media.foxford.ru/articles/chto-takoe-produktivnost
советы по здоровому питанию для начинающих -cyberleninka -youtube -видео -pdf,https://toitumine.ee/ru/kak-pravilno-pitatsya/sovety-po-zdorovomu-pitaniyu,https://6gkb.by/informatsiya/polezno-znat/10-printsipov-zdorovogo-pitaniya
как составить рацион питания для похудения с помощью правильных продуктов -cyberleninka -youtube -видео -pdf,https://donsport.ru/blog/pravilnoe-pitanie-dlya-pokhudeniya/,https://letbefit.ru/blog/kak-sostavit-pravilnoe-pitanie/
методы развития творческих способностей -cyberleninka -youtube -видео -pdf,https://s-ba.ru/conf-posts-2020-03/tpost/i47ih439z1-metodi-i-formi-razvitiya-tvorcheskih-spo,https://monkeypark.ru/blog/5-sposobov-razvitiya-tvorchesk/
упражнения для повышения креативности -cyberleninka -youtube -видео -pdf,https://www.uplab.ru/blog/how-to-think-creatively/,https://donskih.ru/2015/10/razvivaem-kreativnost-5-uprazhnenij/
психология цвета в дизайне -cyberleninka -youtube -видео -pdf,https://practicum.yandex.ru/blog/cvet-v-dizajne-teoriya-cveta-osnovy-dlya-dizajnerov/,https://ux-journal.ru/teoriya-tsveta-dlya-dizajnerov-chast-1-znachenie-tsveta.html
влияние цвета на восприятие информации в маркетинге: исследования и рекомендации -cyberleninka -youtube -видео -pdf,https://timeweb.com/ru/community/articles/chto-takoe-teoriya-cveta-i-kak-ona-rabotaet-v-marketinge,https://habr.com/ru/companies/click/articles/738006/
как составить бюджет для начинающих -cyberleninka -youtube -видео -pdf,https://fintelligence.ru/blog/50-20-30_pravilo,https://finuslugi.ru/navigator/stat_kak_vesti_byudzhet_i_ne_sorvatsya
простые советы по инвестированию для молодых людей -cyberleninka -youtube -видео -pdf,https://www.banki.ru/news/daytheme/?id=10965996,https://edutoria.ru/blog/post/investicii-dlya-nachinayushchih-kak-nachat-investirovat-s-nulya
влияние музыки на настроение и работоспособность научные исследования -cyberleninka -youtube -видео -pdf,https://school48.edu.yar.ru/dopobraz/hudozhestvenno_minus_esteticheskoe_ot_44/vliyanie_muziki_na_cheloveka.html,https://indierockschool.ru/news/vliyanie-muzyki-na-cheloveka/
как музыка влияет на продуктивность и самочувствие #музыкадлямотивации #психологиязвука -cyberleninka -youtube -видео -pdf,https://habr.com/ru/articles/154795/,https://sbersova.ru/sections/lifestyle/so-slovami-i-bez-slov-kak-muzyka-vliyaet-na-produktivnost
методы развития эмоционального интеллекта -cyberleninka -youtube -видео -pdf,https://eqspb.ru/emocionalnyy-intellekt/razvitie-emotionalnogo-intellekta/,https://tboutique.ru/praktiki-razvitiya-emoczionalnogo-intellekta
упражнения для повышения эмоционального интеллекта -cyberleninka -youtube -видео -pdf,https://happymonday.ua/ru/emocionalnyj-intellekt-7-uprazhnenij-dlya-razvitiya,https://blog.mann-ivanov-ferber.ru/2023/02/23/6-uprazhnenij-dlya-razvitiya-emocionalnogo-intellekta/
влияние социальных сетей на психическое здоровье -cyberleninka -youtube -видео -pdf,https://holdyou.net/ru/news/sotsialnykh-merezh,https://grindeks.com/ru/health_posts/%D0%BA%D0%B0%D0%BA-%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5-%D1%81%D0%B5%D1%82%D0%B8-%D0%B2%D0%BB%D0%B8%D1%8F%D1%8E%D1%82-%D0%BD%D0%B0-%D0%BF%D1%81%D0%B8%D1%85%D0%B8%D1%87%D0%B5/
как соцсети влияют на настроение и самооценку? -cyberleninka -youtube -видео -pdf,https://cuprum.media/lifestyle/social-media-problems,https://vc.ru/social/489783-kak-socialnye-seti-vliyayut-na-mentalnoe-zdorove
как бороться с эмоциональным выгоранием -cyberleninka -youtube -видео -pdf,https://krd.neirology.com/programs/emocionalnoe-vygoranie,https://vygoranie.com/sindrom-jemocionalnogo-i-professionalnogo-vygoranija/
признаки и методы борьбы с выгоранием у взрослых -cyberleninka -youtube -видео -pdf,https://crocotime.com/ru/vygoranie-na-rabote-priznaki-metody-borby/,https://anywhere.epam.com/ru/blog/non-obvious-stages-of-burnout-you-might-be-ignoring
как спорт влияет на работу мозга -cyberleninka -youtube -видео -pdf,https://www.techinsider.ru/editorial/751373-kak-sport-vliyaet-na-nash-mozg/,https://www.pravilamag.ru/life-style/701849-o-sport-ty-mozg-kak-fizicheskaya-aktivnost-vliyaet-na-kognitivnye-funkcii/
какие виды спорта полезны для памяти и концентрации -cyberleninka -youtube -видео -pdf,https://www.sportmaster.ru/media/articles/kakie-vidy-sporta-polezny-dlya-mozga/,https://www.pravilamag.ru/life-style/701849-o-sport-ty-mozg-kak-fizicheskaya-aktivnost-vliyaet-na-kognitivnye-funkcii/
Как развить эмпатию для лучшего общения? -cyberleninka -youtube -видео -pdf,https://www.psychologies.ru/articles/14-sposobov-razvit-empatiyu/,https://exponentialcoachingacademy.com/blog/kak-ispolzovat-empatiyu-i-kommunikaciyu-dlya-dostizheniya-celej
Практические упражнения для повышения эмпатии -cyberleninka -youtube -видео -pdf,https://alpinabook.ru/blog/kak-razvit-v-sebe-empatiyu/,https://hr-portal.ru/article/10-uprazhneniy-dlya-razvitiya-empatii
научные исследования влияние музыки на память -cyberleninka -youtube -видео -pdf,https://indierockschool.ru/news/vliyanie-muzyki-na-cheloveka/,https://style.rbc.ru/health/5c6fb5d59a794705784689c3
лучшая музыка для запоминания информации -cyberleninka -youtube -видео -pdf,https://calmradio.com/ru/zenlife/4749-classical-music-for-study-and-focus,https://music.apple.com/ru/album/%D1%81%D1%82%D0%B8%D0%BC%D1%83%D0%BB%D1%8F%D1%86%D0%B8%D1%8F-%D0%BC%D0%BE%D0%B7%D0%B3%D0%B0-%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0-%D0%B4%D0%BB%D1%8F-%D0%BA%D0%BE%D0%BD%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%B8-%D1%80%D0%B0%D0%B7%D0%B2%D0%B8%D1%82%D0%B8%D0%B5-%D0%BF%D0%B0%D0%BC%D1%8F%D1%82%D0%B8/1342782535
как построить гармоничные отношения -cyberleninka -youtube -видео -pdf,https://www.psychologies.ru/articles/tri-glavnykh-usloviya-dlya-sozdaniya-garmonichnykh-otnoshenii/,https://www.grazia.ru/lifestyle/sovetuet-psiholog-4-vazhnyh-shaga-kotorye-pomogut-obresti-schastlivye-otnosheniya-s-muzhchinoy/
советы для укрепления отношений -cyberleninka -youtube -видео -pdf,https://www.psychologies.ru/articles/10-sposobov-sohranit-i-ukrepit-otnosheniya/,https://networking.camp/useful/metody-ukreplenij-vzaimootnoshenij
как стресс влияет на организм -cyberleninka -youtube -видео -pdf,https://bsmp.medgis.ru/stress,https://mcmedline.ru/stress-i-ego-vliyanie-na-organizm-zabottes-o-svoem-psixicheskom-i-fizicheskom-zdorove/
симптомы стресса и способы борьбы с ним -cyberleninka -youtube -видео -pdf,https://25gdp.by/novosti/stati/791-stress-i-sposoby-ego-preodoleniya,https://santerramed.ru/napravleniya/psikhologiya/zabolevaniya/ctress.html
методы развития креативности -cyberleninka -youtube -видео -pdf,https://www.insales.ru/blogs/university/kak-pridumyvat-nestandartnye-biznes-idei,https://www.uplab.ru/blog/how-to-think-creatively/
упражнения для повышения креативного мышления -cyberleninka -youtube -видео -pdf,https://www.uplab.ru/blog/how-to-think-creatively/,https://www.marieclaire.ru/psychology/effektivnyie-uprajneniya-dlya-tvorcheskogo-myishleniya/
как технологии меняют образование -cyberleninka -youtube -видео -pdf,https://rg.ru/2023/02/20/kak-tehnologii-meniaiut-universitetskoe-obrazovanie.html,https://kz.kursiv.media/opinions/kak-tekhnologii-menyayut-sistemu-obrazovaniya/
положительное и отрицательное влияние цифровых технологий на образование -cyberleninka -youtube -видео -pdf,https://nou-stupeni.ru/opinion/polozhitelnyie-i-otritsatelnyie-storonyi-ispolzovaniya-ikt-v-shkole/,https://sn.ria.ru/20210920/tsifrovizatsiya-1750932665.html
как бороться с тревогой и стрессом: визуальные методы -cyberleninka -youtube -видео -pdf,https://medsi.ru/articles/kak-spravitsya-s-trevogoy-i-bespokoystvom/,https://25gdp.by/novosti/stati/791-stress-i-sposoby-ego-preodoleniya
практические советы по снижению тревожности и управлению стрессом с иллюстрациями -cyberleninka -youtube -видео -pdf,https://www.mos.ru/news/item/72745073/,https://25gdp.by/novosti/stati/791-stress-i-sposoby-ego-preodoleniya
как искусство влияет на эмоции -cyberleninka -youtube -видео -pdf,https://scilead.ru/article/5134-vliyanie-izobrazitelnogo-iskusstva-na-emotsio,https://www.gazeta.ru/science/news/2023/03/29/20083771.shtml
психологическое воздействие произведений искусства -cyberleninka -youtube -видео -pdf,http://rl-online.ru/articles/3-03/176.html,https://pedlib.ru/Books/1/0472/1_0472-8.shtml
методы развития лидерских качеств -cyberleninka -youtube -видео -pdf,https://www.wrike.com/ru/blog/devyat-sposobov-razvit-v-sebe-liderskie-kachestva/,https://coursus.ru/blog/kak-razvivat-liderskie-kachestva-v-komande-luchshie-praktiki-i-metody
как развить лидерские качества для успешной карьеры -cyberleninka -youtube -видео -pdf,https://www.wrike.com/ru/blog/devyat-sposobov-razvit-v-sebe-liderskie-kachestva/,https://eleks.ru/proforientacija-i-karernoe-razvitie/razvitie-navykov-liderstva-sekrety-uspeshnoj-karery/
питание для улучшения памяти и концентрации -cyberleninka -youtube -видео -pdf,https://sojmarket.ru/blog/pravilnoe-pitanie/pitanie-dlya-uluchsheniya-kontsentratsii-i-pamyati/,https://www.techinsider.ru/science/1540644-samye-poleznye-produkty-dlya-mozga-kotorye-uluchshat-pamyat-i-myshlenie/
как правильно питаться для поддержания когнитивных функций -cyberleninka -youtube -видео -pdf,https://sojmarket.ru/blog/pravilnoe-pitanie/pitanie-dlya-uluchsheniya-kontsentratsii-i-pamyati/,https://vkusvill.ru/media/journal/chto-est-chtoby-stat-umnee-i-byvayut-li-produkty-dlya-mozga.html
практические советы по созданию эффективной команды -cyberleninka -youtube -видео -pdf,https://www.your-mentor.ru/management/55-kak-sozdat-uspeshnuyu-komandu-prakticheskie-sovety,https://advertisingforum.ru/blog/kak-sozdat-uspeshnuyu-komandu/
как мотивировать команду к достижению целей -cyberleninka -youtube -видео -pdf,https://vc.ru/flood/42747-kak-motivirovat-komandu-na-dostizhenie-celei,https://upinc.ru/blog/stati/kak-motivirovat-komandu-na-rabotu/
влияние загрязнения воздуха на здоровье -cyberleninka -youtube -видео -pdf,https://www.who.int/ru/news-room/fact-sheets/detail/ambient-(outdoor)-air-quality-and-health,https://plus-one.ru/manual/2021/12/09/zagryaznenie-vozdushnoy-sredy-i-ego-vliyanie-na-zdorove-cheloveka
как окружающая среда влияет на психическое здоровье -cyberleninka -youtube -видео -pdf,https://shilovo-med.medgis.ru/materials/view/vliyanie-okruzhayushej-sredy-na-zdorove-cheloveka-2767,https://www.b17.ru/blog/379997/
методы развития навыков общения -cyberleninka -youtube -видео -pdf,https://myresume.ru/blog/kak-razvit-kommunikativnye-navyki/,https://ast-academy.ru/blog/razvitie_kommunikativnyh_navykov/
как улучшить коммуникативные навыки -cyberleninka -youtube -видео -pdf,https://rb.ru/story/improve-social/,http://uszn-bor.ru/pamyatki/razvit-naviki-obsheniya/
как путешествия меняют человека -cyberleninka -youtube -видео -pdf,https://bytur.by/blogs/kak-puteshestvie-menjaet-cheloveka/,https://inform-ua.info/travel/1593681959-puteshestvyya-menyayut-lyudey-v-luchshuyu-storonu-y-pomogayut-nayty-sebya
влияние путешествий на личность и саморазвитие -cyberleninka -youtube -видео -pdf,https://welcometimes.ru/opinions/puteshestviya-kak-razvitie-lichnosti-pochemu-nuzhno-vyezzhat-iz-goroda,https://www.b17.ru/article/464790/
практические методы развития самодисциплины -cyberleninka -youtube -видео -pdf,https://sportzania.ru/about/publikatsii/kak-nauchit-rebenka-samodistsipline/,https://kedu.ru/press-center/articles/info-kak-razvit-i-ukrepit-samodistsiplinu-i-silu-voli-tekhniki-i-samokontrol/
советы по повышению самодисциплины для достижения целей -cyberleninka -youtube -видео -pdf,https://www.leadertask.ru/blog/samodisciplina,https://studently.ru/blog/studentam-i-shkolnikam/kak-zastavit-sebya-uchitsya-10-sekretov-samodiscipliny
Книги для расширения кругозора и поиска вдохновения -cyberleninka -youtube -видео -pdf,https://happymonday.ua/ru/3-knigi-dlja-razvitija-krugozora,https://www.ozon.ru/club/article/bystree-vyshe-silnee-reyiting-knig-po-motivatsii-16304725/
Литература для саморазвития и поиска вдохновения -cyberleninka -youtube -видео -pdf,https://makeright.ru/blog/7-best-books-for-inspiration-and-self-development/,https://www.litres.ru/journal/top-40-luchshikh-vdokhnovliaiushchikh-i-motivatsionnykh-knig/
книжный дневник для саморазвития -cyberleninka -youtube -видео -pdf,https://www.ozon.ru/category/knizhnyy-dnevnik/,https://blog.mann-ivanov-ferber.ru/2020/04/03/vremya-dlya-sebya-6-dnevnikov-kotorye-mozhno-zavesti-pryamo-sejchas/
"количество книг, которые нужно читать в год для интеллектуального роста -cyberleninka -youtube -видео -pdf",https://sportzania.ru/about/publikatsii/chto-budet-esli-chitat-mnogo-knig/,https://worldsamo.com/blog/book
Упражнения для утренней зарядки: видео -cyberleninka -youtube -видео -pdf,https://www.facebook.com/etvpluss/videos/%D0%BA%D0%BE%D0%BE%D1%80%D0%B4%D0%B8%D0%BD%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%B0%D1%8F-%D0%BB%D0%B5%D1%81%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BD%D0%B5%D0%BE%D0%B1%D1%8B%D1%87%D0%BD%D0%B0%D1%8F-%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D1%8F%D1%8F-%D0%B7%D0%B0%D1%80%D1%8F%D0%B4%D0%BA%D0%B0/293387715792465/,https://m.facebook.com/sportmastermd/videos/%D0%BD%D0%B0%D1%87%D0%B8%D0%BD%D0%B0%D0%B9%D1%82%D0%B5-%D1%81%D0%B2%D0%BE%D0%B9-%D0%B4%D0%B5%D0%BD%D1%8C-%D1%81-%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B3%D0%BE-%D0%B7%D0%B0%D1%80%D1%8F%D0%B4%D0%B0-%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D1%8F-%D0%BE-%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D0%B5-%D0%B0-%D0%B2%D1%8B-%D0%B7%D0%BD%D0%B0%D0%B5%D1%82%D0%B5-%D1%87%D0%B5%D0%BC-%D0%BF%D0%BE%D0%BB/1361907527980564/
Топ-5 упражнений для утренней зарядки с фото -cyberleninka -youtube -видео -pdf,https://www.ozon.ru/club/article/10-luchshih-uprazhneniy-dlya-utrenney-zaryadki-kak-pridat-sebe-bodrost-7145/,https://old.oblgazeta.ru/sport/88133/
Как преодолевать трудности в спорте: история успеха известного спортсмена -cyberleninka -youtube -видео -pdf,https://olympics.com/athlete365/ru/whitepaper/%D0%B6%D0%B8%D0%B7%D0%BD%D1%8C-%D0%BF%D0%BE%D1%81%D0%BB%D0%B5-%D1%81%D0%BF%D0%BE%D1%80%D1%82%D0%B0-%D0%BF%D0%BE%D1%87%D0%B5%D0%BC%D1%83-%D1%81%D0%BF%D0%BE%D1%80%D1%82%D1%81%D0%BC%D0%B5%D0%BD%D0%B0/,https://www.vedomosti.ru/gorod/leisuretime/columns/rezistentnost-k-neudacham-kak-sportsmenam-perezhit-travlyu-posle-porazhenii
Уроки мотивации из истории успешных спортсменов: как преодолеть препятствия и достичь вершины -cyberleninka -youtube -видео -pdf,https://fastercapital.com/ru/content/%D0%92%D0%B4%D0%BE%D1%85%D0%BD%D0%BE%D0%B2%D0%BB%D1%8F%D1%8E%D1%89%D0%B5%D0%B5-%D0%BF%D1%83%D1%82%D0%B5%D1%88%D0%B5%D1%81%D1%82%D0%B2%D0%B8%D0%B5--%D0%92%D0%B4%D0%BE%D1%85%D0%BD%D0%BE%D0%B2%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BD%D0%B0-%D0%B4%D0%B2%D0%BE%D0%B9%D0%BD%D0%BE%D0%B5-%D0%B7%D0%BE%D0%BB%D0%BE%D1%82%D0%BE--%D0%BF%D1%83%D1%82%D0%B5%D1%88%D0%B5%D1%81%D1%82%D0%B2%D0%B8%D0%B5-%D0%BA-%D1%81%D0%BB%D0%B0%D0%B2%D0%B5.html,https://souor.siteedu.ru/media/sub/1814/documents/psihologiya-sporta-posobie.doc
Как правильно обрезать плодовые деревья весной -cyberleninka -youtube -видео -pdf,https://aogarden.ru/articles/sad-i-ogorod/obrezka-plodovykh-derevev-vesnoy-skhemy-dlya-nachinayushchikh/,https://www.houzz.ru/statyi/azy-sadovoda-obrezka-derevyev-i-kustarnikov-stsetivw-vs~63052536
Советы по обрезке плодовых деревьев весной для садоводов -cyberleninka -youtube -видео -pdf,https://aogarden.ru/articles/sad-i-ogorod/obrezka-plodovykh-derevev-vesnoy-skhemy-dlya-nachinayushchikh/,https://www.houzz.ru/statyi/azy-sadovoda-obrezka-derevyev-i-kustarnikov-stsetivw-vs~63052536
Лучшие сорта томатов для открытого грунта в Сибири -cyberleninka -youtube -видео -pdf,https://www.semena-sad.ru/blog/ogorod/top-10-tomatov-dlya-sibiri,https://yasna24.ru/nashi-sovety/sorta-pomidorov-dlya-vyrashchivaniya-v-teplitsakh-v-sibiri
Сорта томатов для выращивания на открытом грунте в Сибири -cyberleninka -youtube -видео -pdf,https://www.semena-sad.ru/blog/ogorod/top-10-tomatov-dlya-sibiri,https://yasna24.ru/nashi-sovety/sorta-pomidorov-dlya-vyrashchivaniya-v-teplitsakh-v-sibiri
Искусственный интеллект и мировая политика -cyberleninka -youtube -видео -pdf,https://politicalscience.rsuh.ru/jour/article/view/355,https://www.wipo.int/about-ip/ru/artificial_intelligence/policy.html
Влияние технологий на международные отношения -cyberleninka -youtube -видео -pdf,https://www.hse.ru/edu/courses/292658813,https://russiancouncil.ru/blogs/a-volkov/politika-i-tekhnologii-simbioz-mnogovekovykh-osnov-i-sovremennykh-resh/
Роль молодежи в политической жизни страны: возможности и перспективы -cyberleninka -youtube -видео -pdf,https://na-journal.ru/2-2012-gumanitarnye-nauki/66-uchastie-molodezhi-v-politike,http://ombudsman.kaluga.ru/library/?content=item&item=195
