Тема,Социальная сеть,Целевая аудитория,Дополнительная информация,num_message,stage,prompt,model
Как управлять своими финансами,Телеграм,"Все, кто хочет научиться грамотно распоряжаться своими деньгами","Публикация должна содержать советы по управлению бюджетом, инвестициям и сбережениям",19,extract,0,gemma-2-9b-it-Q8_0_L
Влияние музыки на настроение и работоспособность,Twitter,"музыканты, психологи, люди, желающие улучшить свое состояние с помощью музыки",Публикация должна содержать исследования и рекомендации по выбору музыки для разных ситуаций.,20,extract,0,gemma-2-9b-it-Q8_0_L
Как развивать эмоциональный интеллект,ВКонтакте,"Все, кто хочет лучше понимать свои эмоции и эмоции других людей",Публикация должна содержать методы и упражнения для развития эмоционального интеллекта,21,extract,0,gemma-2-9b-it-Q8_0_L
Влияние социальных сетей на психическое здоровье,Телеграм,"Все, кто проводит много времени в интернете",Публикация для обсуждения влияния социальных сетей на психическое состояние,22,extract,0,gemma-2-9b-it-Q8_0_L
Как справиться с выгоранием,Телеграм,"Все, кто чувствует усталость и потерю интереса к работе или учёбе",Публикация о методах борьбы с эмоциональным выгоранием,23,extract,0,gemma-2-9b-it-Q8_0_L
Влияние спорта на здоровье мозга,ВКонтакте,"Все, кто заботится о своем здоровье",Публикация для обсуждения влияния занятий спортом на работу мозга,24,extract,0,gemma-2-9b-it-Q8_0_L
Как развить эмпатию,Твиттер,"Все, кто хочет лучше понимать других людей",Публикация о методах развития эмпатии,25,extract,0,gemma-2-9b-it-Q8_0_L
Влияние музыки на память,Твиттер,"Все, кто хочет использовать музыку для улучшения своей памяти",Публикация должна содержать исследования и рекомендации по выбору музыки для запоминания информации.,26,extract,0,gemma-2-9b-it-Q8_0_L
Как создать гармоничные отношения,Телеграм,"Все, кто хочет построить крепкие и здоровые отношения",Публикация с советами по созданию гармонии в отношениях,27,extract,0,gemma-2-9b-it-Q8_0_L
Влияние стресса на организм,ВКонтакте,"Все, кто сталкивается со стрессом в повседневной жизни",Публикация для обсуждения влияния стресса на физическое и психическое здоровье,28,extract,0,gemma-2-9b-it-Q8_0_L
Как развить креативность,Твиттер,"Все, кто хочет научиться мыслить нестандартно и находить новые решения",Публикация должна содержать методы и упражнения для развития креативности.,29,extract,0,gemma-2-9b-it-Q8_0_L
Влияние технологий на образование,Телеграм,"Все, кто интересуется изменениями в образовательной сфере","Публикация поможет обсудить, как технологии влияют на качество и доступность образования.",30,extract,0,gemma-2-9b-it-Q8_0_L
Как справиться с тревогой,Инстаграм,"люди, испытывающие беспокойство и тревогу",публикация о методах снижения тревоги и управления стрессом,31,extract,0,gemma-2-9b-it-Q8_0_L
Влияние искусства на эмоциональное состояние,ВКонтакте,"Все, кто ценит искусство",Публикация для обсуждения влияния искусства на эмоции и настроение,32,extract,0,gemma-2-9b-it-Q8_0_L
Как развить лидерские качества,Телеграм,"Все, кто хочет стать лидером или уже является им",Публикация о методах развития лидерских качеств,33,extract,0,gemma-2-9b-it-Q8_0_L
Влияние питания на когнитивные функции,Инстаграм,"Все, кто хочет улучшить свою память и концентрацию",Публикация должна содержать исследования и рекомендации по питанию для поддержания когнитивных функций.,34,extract,0,gemma-2-9b-it-Q8_0_L
Как создать эффективную команду,Телеграм,"Все, кто работает в команде",Публикация с советами по формированию и управлению эффективной командой,35,extract,0,gemma-2-9b-it-Q8_0_L
Влияние окружающей среды на здоровье,ВКонтакте,"Все, кто заботится о своем здоровье",Публикация для обсуждения влияния окружающей среды на физическое и психическое здоровье,36,extract,0,gemma-2-9b-it-Q8_0_L
Развитие навыков общения,Телеграм,"Все, кто хочет улучшить свои коммуникативные навыки",Публикация должна содержать методы развития навыков общения,37,extract,0,gemma-2-9b-it-Q8_0_L
Влияние путешествий на личность,Твиттер,Любители путешествий,Публикация для обсуждения влияния путешествий на личность и мировоззрение,38,extract,0,gemma-2-9b-it-Q8_0_L
Как развить самодисциплину,Телеграм,"Все, кто хочет достигать поставленных целей",Публикация о методах развития самодисциплины,39,extract,0,gemma-2-9b-it-Q8_0_L
Какие книги стоит прочитать каждому?,ВК,"Любители литературы, стремящиеся расширить свой кругозор и найти вдохновение","Публикация поможет привлечь внимание к книгам, которые могут изменить жизнь читателя.",0,extract,1,gemma-2-9b-it-Q8_0_L
Сколько книг нужно читать в год?,Телеграм,"Все, кто хочет поддерживать интеллектуальное развитие и самосовершенствование",Публикация должна включать личный опыт и советы по чтению.,1,extract,1,gemma-2-9b-it-Q8_0_L
Топ-5 упражнений для утренней зарядки,Инстаграм,"Люди, стремящиеся начать день с бодрости и энергии",Публикация должна мотивировать аудиторию к здоровому образу жизни,2,extract,1,gemma-2-9b-it-Q8_0_L
История успеха известного спортсмена: как преодолеть трудности и достичь вершины,ВКонтакте,"Люди, сталкивающиеся с трудностями в своей жизни","Рассказ о преодолении препятствий и достижении целей, вдохновляющая история",3,extract,1,gemma-2-9b-it-Q8_0_L
Как правильно обрезать плодовые деревья весной: советы и рекомендации,Телеграм,Садоводы и огородники,Поделиться знаниями и опытом,4,extract,1,gemma-2-9b-it-Q8_0_L
Лучшие сорта томатов для открытого грунта в Сибири,ВКонтакте,"Жители Сибири, желающие выращивать томаты в открытом грунте",Информация поможет выбрать подходящие сорта.,5,extract,1,gemma-2-9b-it-Q8_0_L
Влияние искусственного интеллекта на будущее мировой политики,Телеграм,"Все, кто интересуется политикой и технологиями",Публикация для обсуждения влияния ИИ на политическую сферу,6,extract,1,gemma-2-9b-it-Q8_0_L
Роль молодёжи в политической жизни страны: возможности и перспективы,Инстаграм,"Молодые люди, интересующиеся политикой",Публикация должна способствовать обсуждению роли молодежи в политике.,7,extract,1,gemma-2-9b-it-Q8_0_L
Как анализ больших данных помогает оптимизировать бизнес-процессы,ВКонтакте,Предприниматели и менеджеры,Публикация о личном опыте использования анализа данных,8,extract,1,gemma-2-9b-it-Q8_0_L
Перспективы развития аналитики больших данных в ближайшие годы,Инстаграм,Специалисты в области аналитики данных и IT,Публикация должна способствовать обсуждению тенденций развития аналитики данных.,9,extract,1,gemma-2-9b-it-Q8_0_L
Влияние социальных сетей на формирование общественного мнения,Телеграм,"Все, кто интересуется влиянием медиа на общество",Публикация должна способствовать обсуждению роли социальных сетей в формировании мнений.,10,extract,1,gemma-2-9b-it-Q8_0_L
Будущее интернет-рекламы: тренды и прогнозы,Телеграм,Маркетологи и рекламодатели,Публикация для обсуждения будущего интернет-рекламы,11,extract,1,gemma-2-9b-it-Q8_0_L
Развитие критического мышления,Инстаграм,Все желающие научиться анализировать информацию и принимать обоснованные решения,Публикация должна содержать методы и упражнения для развития критического мышления.,12,extract,1,gemma-2-9b-it-Q8_0_L
Экологические проблемы современного мира,Инстаграм,"Люди, заботящиеся о будущем планеты",Обсуждение экологических проблем и способов их решения,13,extract,1,gemma-2-9b-it-Q8_0_L
Искусство медитации,Телеграм,"Люди, желающие научиться расслабляться и справляться со стрессом",Публикации должны содержать техники медитации и её преимущества.,14,extract,1,gemma-2-9b-it-Q8_0_L
Как стать более организованным,Телеграм,"Все, кто хочет улучшить свою продуктивность и эффективность",Публикация о методах организации времени и пространства,15,extract,1,gemma-2-9b-it-Q8_0_L
Здоровое питание,Twitter,"Люди, заботящиеся о своем здоровье",Советы по выбору продуктов и составлению рациона,16,extract,1,gemma-2-9b-it-Q8_0_L
Развитие творческих способностей,Инстаграм,"Все, кто хочет раскрыть свой творческий потенциал",Публикация должна содержать методы и упражнения для развития творческих способностей.,17,extract,1,gemma-2-9b-it-Q8_0_L
Психология цвета,Телеграм,"Дизайнеры, маркетологи, все, кто хочет лучше понимать влияние цвета на восприятие информации",Публикация с исследованиями и рекомендациями по использованию цветов,18,extract,1,gemma-2-9b-it-Q8_0_L
Управление финансами,Телеграм,Все желающие научиться грамотно распоряжаться своими деньгами,"Советы по управлению бюджетом, инвестициям и сбережениям",19,extract,1,gemma-2-9b-it-Q8_0_L
Влияние музыки на настроение и работоспособность,Twitter,"Музыкант, психологи, люди, желающие использовать музыку для улучшения состояния",Публикация с исследованиями и рекомендациями по выбору музыки для разных ситуаций,20,extract,1,gemma-2-9b-it-Q8_0_L
Развитие эмоционального интеллекта,ВКонтакте,Все желающие лучше понимать свои эмоции и эмоции других людей,Публикация должна содержать методы и упражнения для развития эмоционального интеллекта,21,extract,1,gemma-2-9b-it-Q8_0_L
Влияние социальных сетей на психическое здоровье,Телеграм,"Люди, проводящие много времени в интернете",Обсуждение влияния социальных сетей на психическое состояние,22,extract,1,gemma-2-9b-it-Q8_0_L
Как справиться с выгоранием,Телеграм,"Все, кто чувствует усталость и потерю интереса к работе или учёбе",Публикация должна содержать методы борьбы с эмоциональным выгоранием,23,extract,1,gemma-2-9b-it-Q8_0_L
Влияние спорта на здоровье мозга,ВКонтакте,"Все, кто заботится о своем здоровье",Обсуждение влияния занятий спортом на работу мозга,24,extract,1,gemma-2-9b-it-Q8_0_L
Развитие эмпатии,Twitter,"Люди, желающие лучше понимать других",Публикация должна содержать методы развития эмпатии.,25,extract,1,gemma-2-9b-it-Q8_0_L
Влияние музыки на память,Twitter,"Все, кто хочет использовать музыку для улучшения своей памяти",Поделиться исследованиями и рекомендациями по выбору музыки для запоминания информации,26,extract,1,gemma-2-9b-it-Q8_0_L
Как создать гармоничные отношения,Телеграм,"Все, кто хочет построить крепкие и здоровые отношения",Публикация с советами по созданию гармонии в отношениях,27,extract,1,gemma-2-9b-it-Q8_0_L
Влияние стресса на организм,ВКонтакте,"Все, кто сталкивается со стрессом в повседневной жизни",Публикация для обсуждения влияния стресса на физическое и психическое здоровье,28,extract,1,gemma-2-9b-it-Q8_0_L
Как развить креативность,Twitter,"Все, кто хочет научиться мыслить нестандартно и находить новые решения",Публикация должна содержать методы и упражнения для развития креативности.,29,extract,1,gemma-2-9b-it-Q8_0_L
Влияние технологий на образование,Телеграм,"Все, кто интересуется изменениями в образовательной сфере","Обсудить, как технологии влияют на качество и доступность образования",30,extract,1,gemma-2-9b-it-Q8_0_L
Как справиться с тревогой,Инстаграм,"Люди, испытывающие беспокойство и тревогу",Публикация должна содержать методы снижения тревоги и управления стрессом.,31,extract,1,gemma-2-9b-it-Q8_0_L
Влияние искусства на эмоциональное состояние,ВКонтакте,"Любознательные пользователи, ценители искусства",,32,extract,1,gemma-2-9b-it-Q8_0_L
Развитие лидерских качеств,Телеграм,"Люди, желающие стать лидерами или уже являющиеся ими",Публикация должна содержать методы развития лидерских качеств.,33,extract,1,gemma-2-9b-it-Q8_0_L
Влияние питания на когнитивные функции,Инстаграм,"Все, кто хочет улучшить свою память и концентрацию",Поделиться исследованиями и рекомендациями по питанию для поддержания когнитивных функций,34,extract,1,gemma-2-9b-it-Q8_0_L
Как создать эффективную команду,Телеграм,"Все, кто работает в команде",Поделиться советами по формированию и управлению эффективной командой,35,extract,1,gemma-2-9b-it-Q8_0_L
Влияние окружающей среды на здоровье,ВКонтакте,"Все, кто заботится о своем здоровье",Обсуждение влияния окружающей среды на физическое и психическое здоровье,36,extract,1,gemma-2-9b-it-Q8_0_L
Развитие навыков общения,Телеграм,"Все, кто хочет улучшить свои коммуникативные навыки",Публикация должна содержать методы развития навыков общения,37,extract,1,gemma-2-9b-it-Q8_0_L
Влияние путешествий на личность,Twitter,Любители путешествий,Обсуждение влияния путешествий на личность и мировоззрение,38,extract,1,gemma-2-9b-it-Q8_0_L
Как развить самодисциплину,Телеграм,"Все, кто хочет достигать поставленных целей",Публикация о методах развития самодисциплины,39,extract,1,gemma-2-9b-it-Q8_0_L
"Список книг, которые стоит прочитать каждому для расширения кругозора и поиска вдохновения.",ВК,"Любители литературы, интересующиеся саморазвитием и поиском вдохновения. Возрастная группа: 18-45 лет. Образовательный уровень: средний и выше. Интересы: чтение, самопознание, личностный рост.",,0,extract,2,gemma-2-9b-it-Q8_0_L
Количество книг для интеллектуального развития,Телеграм,"Люди, интересующиеся самосовершенствованием и развитием интеллекта. Возрастная группа: 18-45 лет. Уровень образования: средний и выше. Интересы: литература, личностный рост, образование.",Публикация должна содержать личный опыт автора и практические советы по чтению.,1,extract,2,gemma-2-9b-it-Q8_0_L
Топ-5 упражнений для утренней зарядки,Instagram,"Люди, интересующиеся здоровым образом жизни, фитнесом и саморазвитием. Возраст: 18-45 лет. Пол: женский и мужской. Уровень активности: от начинающих до опытных.",,2,extract,2,gemma-2-9b-it-Q8_0_L
История успеха известного спортсмена: преодоление трудностей и достижение вершины,ВКонтакте,"Молодежь (18-35 лет), интересующаяся спортом, мотивационным контентом, историями успеха. Люди, которые сталкиваются с трудностями в жизни и ищут вдохновения.",,3,extract,2,gemma-2-9b-it-Q8_0_L
Как правильно обрезать плодовые деревья весной: советы и рекомендации,Телеграм,"Садоводы и огородники, интересующиеся повышением урожайности плодовых деревьев",,4,extract,2,gemma-2-9b-it-Q8_0_L
Лучшие сорта томатов для выращивания в открытом грунте в условиях Сибири,ВКонтакте,"Жители Сибири, интересующиеся садоводством и желающие выращивать томаты в открытом грунте.",,5,extract,2,gemma-2-9b-it-Q8_0_L
Влияние искусственного интеллекта на будущее мировой политики,Телеграм,"Люди, интересующиеся политикой и технологиями, студенты, эксперты в области ИИ и международных отношений",Цель публикации - стимулировать обсуждение влияния ИИ на политическую сферу.,6,extract,2,gemma-2-9b-it-Q8_0_L
Роль молодёжи в политической жизни страны: возможности и перспективы,Instagram,"Молодые люди в возрасте 18-30 лет, интересующиеся политикой и обществом, активные пользователи Instagram",,7,extract,2,gemma-2-9b-it-Q8_0_L
Анализ больших данных для оптимизации бизнес-процессов,ВКонтакте,"Предприниматели и менеджеры, заинтересованные в повышении эффективности бизнеса",Поделиться опытом использования анализа данных в оптимизации бизнес-процессов.,8,extract,2,gemma-2-9b-it-Q8_0_L
Перспективы развития аналитики больших данных в ближайшие годы,Instagram,Специалисты в области аналитики данных и IT,Пост должен способствовать обсуждению тенденций развития аналитики данных.,9,extract,2,gemma-2-9b-it-Q8_0_L
Влияние социальных сетей на формирование общественного мнения,Телеграм,"Люди, интересующиеся влиянием медиа на общество, политикой, социологией, маркетингом и коммуникациями.",,10,extract,2,gemma-2-9b-it-Q8_0_L
Будущее интернет-рекламы: тренды и прогнозы,Телеграм,Маркетологи и рекламодатели,Цель публикации - обсуждение будущего интернет-рекламы.,11,extract,2,gemma-2-9b-it-Q8_0_L
Развитие критического мышления: методы и упражнения,Instagram,"Все желающие улучшить свои навыки анализа информации и принятия обоснованных решений. Включая студентов, профессионалов и всех, кто интересуется саморазвитием.",,12,extract,2,gemma-2-9b-it-Q8_0_L
Экологические проблемы современного мира и пути их решения,Instagram,"Люди, интересующиеся экологическими проблемами, устойчивым развитием и будущим планеты. Возраст: 18-45 лет. Образование: среднее и высшее. Социально активные, склонны к поиску информации и обсуждению актуальных тем.",,13,extract,2,gemma-2-9b-it-Q8_0_L
Искусство медитации: техники для расслабления и снятия стресса,Телеграм,"Люди, испытывающие стресс и желающие научиться техникам релаксации и управления им.  Возрастной диапазон: 18-55 лет. Интересы: саморазвитие, здоровый образ жизни, психология.",,14,extract,2,gemma-2-9b-it-Q8_0_L
Методы организации времени и пространства для повышения продуктивности и эффективности,Телеграм,"Люди всех возрастов и профессий, стремящиеся к улучшению организации своей жизни и повышению продуктивности.",,15,extract,2,gemma-2-9b-it-Q8_0_L
Советы по здоровому питанию: выбор продуктов и составление рациона,Twitter,"Люди, интересующиеся здоровым образом жизни, диетой и питанием.  Возрастная группа: 18-55 лет.  Уровень образования: средний и выше.  Интересы: фитнес, спорт, кулинария.",,16,extract,2,gemma-2-9b-it-Q8_0_L
Развитие творческих способностей: методы и упражнения,Instagram,"Люди всех возрастов, заинтересованные в саморазвитии и раскрытии своего творческого потенциала. Любители искусства, креативные личности, студенты, профессионалы, желающие повысить свою креативность.",,17,extract,2,gemma-2-9b-it-Q8_0_L
Психология цвета: влияние цвета на восприятие информации,Телеграм,"Дизайнеры, маркетологи, люди, интересующиеся психологией и влиянием цвета на восприятие.",Публикация должна содержать исследования и рекомендации по использованию цветов.,18,extract,2,gemma-2-9b-it-Q8_0_L
"Советы по управлению финансами: бюджет, инвестиции, сбережения",Телеграм,"Люди всех возрастов и профессий, заинтересованные в улучшении финансовой грамотности и научении управлять своими деньгами.",,19,extract,2,gemma-2-9b-it-Q8_0_L
Влияние музыки на настроение и работоспособность,Twitter,"Музыканты, психологи, люди интересующиеся саморазвитием и улучшением качества жизни.","Публикация должна содержать краткий обзор исследований и практические рекомендации по выбору музыки для разных ситуаций (работа, отдых, спорт).",20,extract,2,gemma-2-9b-it-Q8_0_L
Развитие эмоционального интеллекта: методы и упражнения,ВКонтакте,"Люди всех возрастов, заинтересованные в саморазвитии, улучшении межличностных отношений и повышении уровня осознанности своих эмоций и эмоций окружающих.",,21,extract,2,gemma-2-9b-it-Q8_0_L
Влияние социальных сетей на психическое здоровье,Телеграм,"Люди, которые проводят много времени в интернете, интересуются темами психологии и саморазвития, склонны к размышлениям о влиянии технологий на жизнь.",,22,extract,2,gemma-2-9b-it-Q8_0_L
Как справиться с выгоранием: методы борьбы с эмоциональным выгоранием,Телеграм,"Люди, испытывающие усталость и потерю интереса к работе или учебе.  Возраст, пол и профессия не ограничены.",,23,extract,2,gemma-2-9b-it-Q8_0_L
Влияние спорта на здоровье мозга,ВКонтакте,"Люди всех возрастов, заинтересованные в сохранении и улучшении своего здоровья, в том числе физического и когнитивного. Любители спорта и здорового образа жизни.",,24,extract,2,gemma-2-9b-it-Q8_0_L
Развитие эмпатии: методы и техники,Twitter,"Люди, интересующиеся саморазвитием, психологией, улучшением межличностных отношений.  Возрастная группа: 18-45 лет. ",,25,extract,2,gemma-2-9b-it-Q8_0_L
Влияние музыки на память: исследования и рекомендации по выбору музыки для улучшения запоминания информации.,Twitter,"Люди всех возрастов, интересующиеся саморазвитием, продуктивностью и методами запоминания информации. Любители музыки, студенты, профессионалы, занимающиеся интеллектуальной деятельностью.",,26,extract,2,gemma-2-9b-it-Q8_0_L
Советы по созданию гармоничных отношений,Телеграм,"Люди всех возрастов, заинтересованные в построении крепких и здоровых отношений.",,27,extract,2,gemma-2-9b-it-Q8_0_L
Влияние стресса на организм,ВКонтакте,"Люди всех возрастов, испытывающие стресс в повседневной жизни. Интересующиеся вопросами здоровья и саморазвития.",,28,extract,2,gemma-2-9b-it-Q8_0_L
Развитие креативности: методы и упражнения для нестандартного мышления и поиска новых решений,Twitter,"Люди всех возрастов и профессий, заинтересованные в повышении своей креативности, развитии нестандартного мышления и поиске новых решений в различных сферах жизни.",,29,extract,2,gemma-2-9b-it-Q8_0_L
Влияние технологий на образование,Телеграм,"Студенты, преподаватели, родители, образовательные организации, эксперты в сфере образования, интересующиеся новыми технологиями и их влиянием на образовательный процесс.",,30,extract,2,gemma-2-9b-it-Q8_0_L
Как справиться с тревогой: методы снижения тревоги и управления стрессом,Инстаграм,"Люди, испытывающие беспокойство и тревогу. Возраст, пол, профессия - не ограничены.",,31,extract,2,gemma-2-9b-it-Q8_0_L
Влияние искусства на эмоциональное состояние,ВКонтакте,"Любознательные пользователи, интересующиеся искусством, культурой и психологией. Люди, которые посещают выставки, музеи, концерты и ценят эстетику.",,32,extract,2,gemma-2-9b-it-Q8_0_L
Развитие лидерских качеств,Телеграм,"Люди, желающие развить лидерские качества, а также действующие лидеры, стремящиеся к самосовершенствованию.",,33,extract,2,gemma-2-9b-it-Q8_0_L
Влияние питания на когнитивные функции: исследования и рекомендации по питанию для улучшения памяти и концентрации,Instagram,"Люди всех возрастов, интересующиеся здоровьем, саморазвитием и повышением когнитивных способностей. Включая тех, кто испытывает трудности с памятью или концентрацией.",,34,extract,2,gemma-2-9b-it-Q8_0_L
Как создать эффективную команду,Телеграм,"Профессионалы, руководители, члены команд, заинтересованные в повышении эффективности работы в команде.",,35,extract,2,gemma-2-9b-it-Q8_0_L
Влияние окружающей среды на здоровье,ВКонтакте,"Люди всех возрастов, заинтересованные в сохранении своего здоровья и благополучия. Особое внимание - к тем, кто интересуется экологическими проблемами и здоровым образом жизни.",,36,extract,2,gemma-2-9b-it-Q8_0_L
Развитие навыков общения,Телеграм,"Люди, желающие улучшить свои коммуникативные навыки.",Публикация должна содержать практические методы и советы по развитию навыков общения.,37,extract,2,gemma-2-9b-it-Q8_0_L
Влияние путешествий на личность,Twitter,"Любители путешествий, интересующиеся саморазвитием и личностным ростом.  Возрастная группа: 18-45 лет. ",,38,extract,2,gemma-2-9b-it-Q8_0_L
Развитие самодисциплины: методы и советы,Телеграм,"Люди всех возрастов, заинтересованные в повышении своей самодисциплины и достижении личных целей. ",,39,extract,2,gemma-2-9b-it-Q8_0_L
Какие книги стоит прочитать каждому?,ВК,Любители литературы,"Публикация должна быть вдохновляющей и побуждать к чтению книг, которые могут изменить жизнь читателя.",0,extract,3,gemma-2-9b-it-Q8_0_L
